POPULATION;NOIND;periode_reference;conso_ca;conso_ca_regl;conso_ca_nb;conso_ca_regl_nb;indic_ca;indic_medic;indic_ni;saison_particuliere;saison_automne;saison_hiver;saison_printemps;saison_ete;saison_autre;saison_autre_libelle;saison_nsp
Pop1 Individu;110100101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110100701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110100801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110101201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110101401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110101601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110101901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110200101;4;3;3;;;;;;;;;;;;                                                            ;
Pop1 Individu;110300301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110300501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110300601;4;1;2;1;;0;1;0;1;1;1;1;;;                                                            ;
Pop1 Individu;110600101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110600401;4;1;2;1;;0;1;0;1;1;;;;;                                                            ;
Pop1 Individu;110601301;4;1;2;1;;0;1;0;2;;;;;;                                                            ;
Pop1 Individu;110601801;4;1;1;6;6;4;1;0;1;;;;;1;POUR EVITER DE PRENDRE DU POID                              ;
Pop1 Individu;110602001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110602701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110603001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110603301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110604501;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;110604901;4;1;1;4;4;3;1;0;2;;;;;;                                                            ;
Pop1 Individu;110605101;4;1;1;2;2;1;1;0;2;;;;;;                                                            ;
Pop1 Individu;110606901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110607301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110702001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110702201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;110900301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111101801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111200101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111200301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111200601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111200701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111200801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111201101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111201301;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;111201501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111202101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111202201;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;111202801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111203001;4;1;1;1;1;1;0;0;2;;;;;;                                                            ;
Pop1 Individu;111203101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111203401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111203901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111300401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111300701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111300901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111301301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111301401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111301501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111303801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111304701;4;1;2;1;;0;1;0;2;;;;;;                                                            ;
Pop1 Individu;111305101;4;1;1;2;2;2;0;0;1;;1;1;;;                                                            ;
Pop1 Individu;111305501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111305801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111400201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111400401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111400601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111400801;4;1;1;3;3;1;1;1;1;1;;;;;                                                            ;
Pop1 Individu;111401101;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111401301;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111401801;4;1;1;3;3;2;1;0;1;;1;;;;                                                            ;
Pop1 Individu;111401901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111402201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111402901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111403201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111403601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111404501;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111404601;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111404801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111405001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111405801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111406001;4;1;1;4;4;4;0;0;2;;;;;;                                                            ;
Pop1 Individu;111406801;4;1;1;1;1;1;0;0;1;;1;;;;                                                            ;
Pop1 Individu;111406901;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111600201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111600401;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111600701;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111600801;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111601001;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111601201;4;2;2;;;;;;;;;;;;                                                            ;
Pop1 Individu;111701201;4;2;2;;;;;;;;;;;;                                                            ;
