POPULATION;NOIND;conso_gpe1;conso_gpe2;conso_gpe3;conso_gpe4;conso_gpe5;conso_gpe6;conso_gpe7;conso_gpe8;conso_gpe9;conso_gpe10;conso_gpe11;conso_gpe12;conso_gpe13;conso_gpe14;conso_gpe15;conso_gpe16;conso_gpe17;conso_gpe18;conso_gpe19;conso_gpe20;conso_gpe21;conso_gpe22;conso_gpe23;conso_gpe24;conso_gpe25;conso_gpe26;conso_gpe27;conso_gpe28;conso_gpe29;conso_gpe30;conso_gpe31;conso_gpe32;conso_gpe33;conso_gpe34;conso_gpe35;conso_gpe36;conso_gpe37;conso_gpe38;conso_gpe39;conso_gpe40;conso_gpe41;conso_gpe42;conso_gpe43;conso_gpe44
Pop3;110100101;60.899998;0;6.6666665;161;0;41.333332;83.199997;208.33333;0;0;20.77;3.1133332;7.1333332;0;84.333336;49.728001;0;0;0;0;42.166668;0;71.333336;84.580002;0;0;34.133335;1.6666666;0;544.16669;148.97499;473.46664;0;0;0;53.666668;0;0;52.5;35.333332;88.052261;0;0;0
Pop3;110100701;24;0;0;40;0;49.714291;0;205.35715;7.1428566;76.785713;0;1.7321429;1.4285716;0;0;0;35.357143;0;0;0;234.60001;0;0;279.17712;0;2.8571432;11.428572;24.006596;0;1027.1428;0;0;5.7714291;947.45532;211.61903;0;0;80.000008;0;0;3.8214285;0;0;0
Pop3;110100801;70.349998;0;0;78.571426;0;118.57142;130.74286;0;13.928571;0;0;30.000002;4.5857143;0;33.482143;127.92343;14.285716;0;0;0;63.285717;0;38.214283;374.17142;0;0;0;0;357.14285;535.71429;764.92725;0;0;0;0;0;0;77.428581;89.285713;115.71429;0;0;0;0
Pop3;110101201;9.9000006;0;0;58.714287;0;130.71428;8;0;0;0;4.9657149;1.0285715;23.248573;0;68.571434;0;21.428572;89.285706;0;0;258.71429;0;25;78.428574;0;10.714286;0;16.121429;556.69641;603.57147;0;90.999992;866.71429;453.15479;0;0;0;0;8.5714293;0;15.265716;0;0;0
Pop3;110101401;46.618332;0;28.200001;22.666666;0;64.666664;0;250;4.7999997;0;0;11.048475;8.1999998;0;13.333333;42;0;0;0;0;61.333332;0;0;25.409998;0;5.5999999;0;15.983333;87.5;208.33333;0;69.044441;0;540.55554;0;0;0;0;96.333336;40.666668;27.366667;0;0;0
Pop3;110300301;192.78571;0;0;0;0;100;4.4571433;0;131.42857;0;0;.3142857;8.5714293;0;26.785715;0;47.857143;0;0;0;26.335405;0;187.85715;0;0;0;.49999997;0;0;386.78571;0;0;0;695.2381;663.71423;0;0;0;107.14285;0;24.707144;0;0;0
Pop3;110300501;232.14287;0;0;0;0;0;32.260712;107.14286;140.28572;0;0;0;6.0536861;17.857141;11.428573;20.160004;28.571426;0;0;0;209.4543;0;23.428574;62.087147;0;0;0;7.1785707;0;244.64287;0;0;145.08929;274.28571;331.85712;0;0;0;21.000002;0;27.835714;0;0;0
Pop3;110600101;109.07999;0;0;0;0;0;71.47142;89.285713;13.928571;0;0;3.5714283;6.7142854;46.428574;68.675003;0;17.857141;67.85714;3.5714283;0;102.95715;0;36.607143;213.06215;0;8.9285707;0;4.8928571;0;768.86908;0;0;0;820.59521;0;0;0;0;0;0;82.832138;0;0;0
Pop3;110601301;181.91071;0;0;39.642857;0;107.00001;16.17857;57.142864;81;89.285713;0;7.8571429;9.622858;0;55.55357;0;0;0;0;0;365;0;25;0;57.142864;0;16.42857;12.721428;0;920.00006;43.285709;3.7142856;38.392857;248.69048;0;0;0;0;127.14285;0;.75000006;0;0;0
Pop3;110602001;143.25;0;0;0;0;0;0;0;0;0;0;7.1999173;7.3928571;0;35.517857;0;25.714287;53.571426;19.642857;0;235.18785;0;0;299.2193;0;0;9.2857141;36.742584;548.25891;0;0;50.142853;0;759.5238;101.00001;0;0;18.57143;0;42.095169;24.307142;220.53572;0;0
