POPULATION;NOIND;PC_pain_ON;PC_pain_freq_M;PC_paincomplet_ON;PC_paincomplet_freq_M;PC_cereales_pdj_complet_ON;PC_cereales_pdj_complet_freq_M;PC_cereales_pdj_autre_ON;PC_cereales_pdj_autre_freq_M;RP_riz_tot_ON;RP_riz_tot_freq_M;RP_riz_complet_ON;RP_riz_complet_freq_M;RP_pdt_tot_ON;RP_pdt_tot_freq_M;RP_pdt_frites_ON;RP_pdt_frites_freq_M;RP_legumeracine_ON;RP_legumeracine_freq_M;RP_tubercule_ON;RP_tubercule_freq_M;LEG_tot_ON;LEG_tot_freq_M;LEG_salade_ON;LEG_salade_freq_M;LEG_bettera_tot_ON;LEG_bettera_tot_freq_M;LEG_bettera_carot_ON;LEG_bettera_carot_freq_M;LEG_concombre_ON;LEG_concombre_freq_M;LEG_concombre_printété_ON;LEG_concombre_printété_freq_M;LEG_concombre_automhiv_ON;LEG_concombre_automhiv_freq_M;LEG_tomate_tot_ON;LEG_tomate_tot_freq_M;LEG_tomate_tot_printété_ON;LEG_tomate_tot_printété_freq_M;LEG_tomate_tot_automhiv_ON;LEG_tomate_tot_automhiv_freq_M;LEG_tomate_seul_ON;LEG_tomate_seul_freq_M;LEG_tomate_seul_printété_ON;LEG_tomate_seul_printété_freq_M;LEG_tomate_seul_automhiv_ON;LEG_tomate_seul_automhiv_freq_M;LEG_chou_ON;LEG_chou_freq_M;LEG_artichaut_ON;LEG_artichaut_freq_M;LEG_champignon_ON;LEG_champignon_freq_M;LEG_oignon_ON;LEG_oignon_freq_M;LEG_legsecs_ON;LEG_legsecs_freq_M;LEG_soupe_ON;LEG_soupe_freq_M;LEG_soupe_automhiv_ON;LEG_soupe_automhiv_freq_M;LEG_soupe_printété_ON;LEG_soupe_printété_freq_M;LEG_saucetomate_ON;LEG_saucetomate_freq_M;VC_tot_ON;VC_tot_freq_M;VC_boeuf_ON;VC_boeuf_freq_M;VC_agneau_ON;VC_agneau_freq_M;VC_poulet_ON;VC_poulet_freq_M;VC_lapin_ON;VC_lapin_freq_M;VC_porc_ON;VC_porc_freq_M;VC_saucisson_ON;VC_saucisson_freq_M;VC_pate_foie_ON;VC_pate_foie_freq_M;VC_pate_autre_ON;VC_pate_autre_freq_M;VC_foie_ON;VC_foie_freq_M;PPM_tot_ON;PPM_tot_freq_M;PPM_poissgras_tot_ON;PPM_poissgras_tot_freq_M;PPM_poissgras_thon_ON;PPM_poissgras_thon_freq_M;PPM_poissonautre_ON;PPM_poissonautre_freq_M;PPM_surimi_ON;PPM_surimi_freq_M;PPM_crustace_ON;PPM_crustace_freq_M;PPM_mollusque_ON;PPM_mollusque_freq_M;OE_oeuf_ON;OE_oeuf_freq_M;OE_quiche_ON;OE_quiche_freq_M;SOJ_soja_ON;SOJ_soja_freq_M;PL_lait_ON;PL_lait_freq_M;PL_fromage_tot_ON;PL_fromage_tot_freq_M;PL_fromage_laitcru_ON;PL_fromage_laitcru_freq_M;PL_yaourtentremet_ON;PL_yaourtentremet_freq_M;PL_yaourt_tot_ON;PL_yaourt_tot_freq_M;PL_yaourt_arom_ON;PL_yaourt_arom_freq_M;PL_entremet_ON;PL_entremet_freq_M;PL_yaourtentremet_light_ON;PL_yaourtentremet_light_freq_M;PL_glace_ON;PL_glace_freq_M;PL_glace_ete_ON;PL_glace_ete_freq_M;PL_glace_autresaison_ON;PL_glace_autresaison_freq_M;FR_total_ON;FR_total_freq_M;FR_agrume_ON;FR_agrume_freq_M;FR_agrume_automhiv_ON;FR_agrume_automhiv_freq_M;FR_agrume_printété_ON;FR_agrume_printété_freq_M;FR_pomme_ON;FR_pomme_freq_M;FR_pomme_autresaison_ON;FR_pomme_autresaison_freq_M;FR_pomme_ete_ON;FR_pomme_ete_freq_M;FR_raisin_ON;FR_raisin_freq_M;FR_raisin_automne_ON;FR_raisin_automne_freq_M;FR_raisin_autresaison_ON;FR_raisin_autresaison_freq_M;FR_melon_ON;FR_melon_freq_M;FR_melon_ete_ON;FR_melon_ete_freq_M;FR_melon_autresaison_ON;FR_melon_autresaison_freq_M;FR_peche_ON;FR_peche_freq_M;FR_peche_ete_ON;FR_peche_ete_freq_M;FR_peche_autresaison_ON;FR_peche_autresaison_freq_M;FR_fraise_ON;FR_fraise_freq_M;FR_fraise_printété_ON;FR_fraise_printété_freq_M;FR_fraise_automhiv_ON;FR_fraise_automhiv_freq_M;FR_fruitexotique_ON;FR_fruitexotique_freq_M;BIS_biscuit_ON;BIS_biscuit_freq_M;BIS_viennoiserie_ON;BIS_viennoiserie_freq_M;BIS_chocolat_ON;BIS_chocolat_freq_M;BIS_bonbon_tot_ON;BIS_bonbon_tot_freq_M;BIS_bonbon_sanssucre_ON;BIS_bonbon_sanssucre_freq_M;BIS_cacahuete_ON;BIS_cacahuete_freq_M;BIS_chips_ON;BIS_chips_freq_M;BNA_jus_tot_ON;BNA_jus_tot_freq_M;BNA_jus_raisin_ON;BNA_jus_raisin_freq_M;BNA_sodaredbull_ON;BNA_sodaredbull_freq_M;BNA_soda_ON;BNA_soda_freq_M;BNA_redbull_ON;BNA_redbull_freq_M;BNA_sodaredbull_light_ON;BNA_sodaredbull_light_freq_M;BA_vin_ON;BA_vin_freq_M;BA_cidre_ON;BA_cidre_freq_M;BA_biere_ON;BA_biere_freq_M;BA_aperitif_ON;BA_aperitif_freq_M;PC_cereales_bb_ON;PC_cereales_bb_freq_M;RP_riz_tot_bb_ON;RP_riz_tot_bb_freq_M;RP_riz_tot_maison_ON;RP_riz_tot_maison_freq_M;RP_riz_complet_bb_ON;RP_riz_complet_bb_freq_M;RP_riz_complet_maison_ON;RP_riz_complet_maison_freq_M;RP_pdt_tot_bb_ON;RP_pdt_tot_bb_freq_M;RP_pdt_tot_maison_ON;RP_pdt_tot_maison_freq_M;RP_legumeracine_bb_ON;RP_legumeracine_bb_freq_M;RP_legumeracine_maison_ON;RP_legumeracine_maison_freq_M;RP_tubercule_bb_ON;RP_tubercule_bb_freq_M;RP_tubercule_maison_ON;RP_tubercule_maison_freq_M;RP_prepariz_bb_ON;RP_prepariz_bb_freq_M;LEG_tot_bb_ON;LEG_tot_bb_freq_M;LEG_tot_maison_ON;LEG_tot_maison_freq_M;LEG_salade_bb_ON;LEG_salade_bb_freq_M;LEG_salade_maison_ON;LEG_salade_maison_freq_M;LEG_bettera_tot_bb_ON;LEG_bettera_tot_bb_freq_M;LEG_bettera_tot_maison_ON;LEG_bettera_tot_maison_freq_M;LEG_bettera_carot_bb_ON;LEG_bettera_carot_bb_freq_M;LEG_bettera_carot_maison_ON;LEG_bettera_carot_maison_freq_M;LEG_haricot_ON;LEG_haricot_freq_M;LEG_haricot_bb_ON;LEG_haricot_bb_freq_M;LEG_haricot_maison_ON;LEG_haricot_maison_freq_M;LEG_tomate_tot_bb_ON;LEG_tomate_tot_bb_freq_M;LEG_tomate_tot_maison_ON;LEG_tomate_tot_maison_freq_M;LEG_tomate_seul_bb_ON;LEG_tomate_seul_bb_freq_M;LEG_tomate_seul_maison_ON;LEG_tomate_seul_maison_freq_M;LEG_concombre_bb_ON;LEG_concombre_bb_freq_M;LEG_concombre_maison_ON;LEG_concombre_maison_freq_M;LEG_chou_bb_ON;LEG_chou_bb_freq_M;LEG_chou_maison_ON;LEG_chou_maison_freq_M;LEG_artichaut_bb_ON;LEG_artichaut_bb_freq_M;LEG_artichaut_maison_ON;LEG_artichaut_maison_freq_M;LEG_champignon_bb_ON;LEG_champignon_bb_freq_M;LEG_champignon_maison_ON;LEG_champignon_maison_freq_M;LEG_legsecs_bb_ON;LEG_legsecs_bb_freq_M;LEG_legsecs_maison_ON;LEG_legsecs_maison_freq_M;LEG_soupe_bb_ON;LEG_soupe_bb_freq_M;LEG_soupe_maison_ON;LEG_soupe_maison_freq_M;VC_tot_bb_ON;VC_tot_bb_freq_M;VC_tot_maison_ON;VC_tot_maison_freq_M;VC_boeuf_bb_ON;VC_boeuf_bb_freq_M;VC_boeuf_maison_ON;VC_boeuf_maison_freq_M;VC_agneau_bb_ON;VC_agneau_bb_freq_M;VC_agneau_maison_ON;VC_agneau_maison_freq_M;VC_poulet_bb_ON;VC_poulet_bb_freq_M;VC_poulet_maison_ON;VC_poulet_maison_freq_M;VC_porc_bb_ON;VC_porc_bb_freq_M;VC_porc_maison_ON;VC_porc_maison_freq_M;PPM_tot_bb_ON;PPM_tot_bb_freq_M;PPM_tot_maison_ON;PPM_tot_maison_freq_M;PPM_poissgras_tot_bb_ON;PPM_poissgras_tot_bb_freq_M;PPM_poissgras_tot_maison_ON;PPM_poissgras_tot_maison_freq_M;PPM_poissonautre_bb_ON;PPM_poissonautre_bb_freq_M;PPM_poissonautre_maison_ON;PPM_poissonautre_maison_freq_M;SOJ_prepasoja_bb_ON;SOJ_prepasoja_bb_freq_M;PL_tot_ON;PL_tot_freq_M;PL_tot_bb_ON;PL_tot_bb_freq_M;PL_tot_maison_ON;PL_tot_maison_freq_M;PL_laitvache_bb_ON;PL_laitvache_bb_freq_M;PL_laitautre_bb_ON;PL_laitautre_bb_freq_M;PL_laitcereale_bb_ON;PL_laitcereale_bb_freq_M;PL_yaourt_entremet_ON;PL_yaourt_entremet_freq_M;PL_yaourt_tot_bb_ON;PL_yaourt_tot_bb_freq_M;PL_yaourt_tot_maison_ON;PL_yaourt_tot_maison_freq_M;PL_yaourt_arom_bb_ON;PL_yaourt_arom_bb_freq_M;PL_yaourt_arom_maison_ON;PL_yaourt_arom_maison_freq_M;PL_entremet_bb_ON;PL_entremet_bb_freq_M;PL_entremet_maison_ON;PL_entremet_maison_freq_M;FR_total_bb_ON;FR_total_bb_freq_M;FR_total_maison_ON;FR_total_maison_freq_M;FR_banane_ON;FR_banane_freq_M;FR_banane_bb_ON;FR_banane_bb_freq_M;FR_banane_maison_ON;FR_banane_maison_freq_M;FR_pomme_bb_ON;FR_pomme_bb_freq_M;FR_pomme_maison_ON;FR_pomme_maison_freq_M;FR_raisin_bb_ON;FR_raisin_bb_freq_M;FR_raisin_maison_ON;FR_raisin_maison_freq_M;FR_peche_bb_ON;FR_peche_bb_freq_M;FR_peche_maison_ON;FR_peche_maison_freq_M;FR_fruitrouge_ON;FR_fruitrouge_freq_M;FR_fruitrouge_bb_ON;FR_fruitrouge_bb_freq_M;FR_fruitrouge_maison_ON;FR_fruitrouge_maison_freq_M;FR_fruitexotique_bb_ON;FR_fruitexotique_bb_freq_M;FR_fruitexotique_maison_ON;FR_fruitexotique_maison_freq_M;BIS_biscuit_bb_ON;BIS_biscuit_bb_freq_M;BIS_biscuit_maison_ON;BIS_biscuit_maison_freq_M;BNA_jus_tot_bb_ON;BNA_jus_tot_bb_freq_M;BNA_jus_tot_maison_ON;BNA_jus_tot_maison_freq_M;BNA_jus_raisin_bb_ON;BNA_jus_raisin_bb_freq_M;BNA_jus_raisin_maison_ON;BNA_jus_raisin_maison_freq_M
Pop2 Individu;110100101;1;30.416666;1;2.5;1;.5;0;;1;13;1;;1;13;1;2.5;0;;0;;1;13;1;4.3333335;1;1;1;.5;1;1.75;1;1.25;1;.5;1;3.4166667;1;2.1666667;1;1.25;1;3.4166667;1;2.1666667;1;1.25;1;1;0;;1;2.5;1;;1;.5;0;;0;;0;;1;13;1;23.833334;1;13;1;;1;4.3333335;1;1;1;13;1;13;1;.5;1;.5;0;;1;1;1;.5;0;;1;.5;0;;0;;1;.5;1;4.3333335;1;2.5;0;;1;4.3333335;1;4.3333335;1;;1;28.166666;1;23.833334;1;13;1;4.3333335;0;;1;4;1;3.25;1;.75;1;13;1;13;1;6.5;1;6.5;1;4.3333335;1;3.25;1;1.0833334;0;;0;;0;;1;1.0833334;1;1.0833334;0;;1;1.0833334;1;1.0833334;0;;1;6.75;1;6.5;1;.25;1;.5;1;23.833334;1;4.3333335;1;4.3333335;1;23.833334;1;23.833334;1;1;1;2.5;1;30.416666;0;;1;24.333334;1;23.833334;1;.5;1;.5;1;.5;1;.5;1;.5;1;.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110100701;1;23.833334;1;1;0;;0;;1;4.3333335;0;;1;4.3333335;1;.5;0;;1;1;1;30.416666;1;23.833334;1;23.833334;1;13;1;13;1;6.5;1;6.5;1;6.5;1;6.5;0;;1;6.5;1;6.5;0;;1;1;1;2.5;1;.5;1;30.416666;1;2.5;1;21.666666;1;15.166667;1;6.5;1;4.3333335;1;30.416666;1;13;1;1;1;2.5;1;.5;1;2.5;1;.5;0;;0;;1;4.3333335;1;4.3333335;1;4.3333335;0;;1;4.3333335;0;;0;;1;.5;1;2.5;1;23.833334;0;;0;;1;13;1;4.3333335;1;30.416666;1;30.416666;1;30.416666;1;13;0;;1;.66666669;1;.66666669;0;;1;30.416666;1;15.208333;1;15.208333;0;;1;9.75;1;9.75;0;;1;3.25;1;3.25;0;;1;3.25;1;3.25;0;;1;5.9166665;1;5.9166665;0;;1;11.916667;1;11.916667;0;;1;.5;1;23.833334;1;2.5;1;30.416666;1;2.5;0;;1;2.5;1;2.5;1;30.416666;1;2.5;0;;0;;0;;0;;0;;1;2.5;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110100801;1;4.3333335;1;.5;1;4.3333335;0;;1;13;0;;1;4.3333335;1;4.3333335;0;;0;;1;13;1;13;1;2.5;1;2.5;1;;1;;1;;1;;1;;0;;0;;0;;0;;1;13;1;2.5;1;13;1;1;1;13;1;2.1666667;1;2.1666667;0;;0;;1;23.833334;1;13;1;.5;1;13;1;1;1;13;1;1;1;.5;0;;0;;1;13;1;4.3333335;0;;1;4.3333335;0;;0;;1;.5;1;1;1;1;0;;1;13;1;13;0;;1;1.5;1;.5;0;;1;1;0;;1;1.0833334;1;1.0833334;0;;1;13;1;13;1;6.5;1;6.5;1;13;1;9.75;1;3.25;1;.58333331;1;.58333331;0;;1;1.0833334;1;1.0833334;0;;1;1.0833334;1;1.0833334;0;;1;4.3333335;1;2.1666667;1;2.1666667;1;2.5;1;4.3333335;1;.5;1;2.5;1;.5;0;;0;;1;1;1;2.5;0;;1;13;1;13;0;;1;13;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110101201;1;23.833334;0;;0;;0;;1;13;0;;1;13;1;2.5;0;;0;;1;23.833334;1;13;1;4.3333335;1;2.5;1;13;1;6.5;1;6.5;1;13;1;6.5;1;6.5;1;13;1;6.5;1;6.5;1;2.5;1;4.3333335;1;2.5;1;;1;4.3333335;1;1.75;1;1.25;1;.5;1;4.3333335;1;13;1;13;1;1;1;13;1;.5;1;13;1;4.3333335;1;.5;1;.5;0;;1;4.3333335;1;4.3333335;1;.5;1;2.5;1;.5;1;2.5;1;.5;1;2.5;1;4.3333335;0;;1;23.833334;1;23.833334;1;13;1;14;1;13;1;13;1;1;0;;1;1.8333334;1;1.0833334;1;.75;1;13;1;7.75;1;6.5;1;1.25;1;13;1;9.75;1;3.25;1;1.8333334;1;1.0833334;1;.75;1;.58333331;1;.58333331;0;;1;5.1666665;1;3.25;1;1.9166666;1;1.5;1;1.25;1;.25;1;.5;1;4.3333335;1;.5;1;4.3333335;1;1;1;.5;1;2.5;1;2.5;1;23.833334;1;.5;1;2.5;1;2.5;0;;0;;1;4.3333335;1;.5;1;13;1;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110101401;1;30.416666;1;;1;30.416666;0;;1;4.3333335;1;4.3333335;1;4.3333335;1;;0;;0;;1;13;1;;0;;0;;1;;1;;1;;1;;1;;1;;1;;1;;1;;0;;0;;1;;1;13;1;;1;;1;;1;;1;;1;;1;;1;;1;;0;;1;;0;;1;;0;;0;;1;4.3333335;1;4.3333335;1;;0;;1;;0;;1;;1;2.5;1;1;0;;0;;1;;1;;1;;1;;0;;0;;0;;0;;0;;0;;1;30.416666;1;15.208333;1;15.208333;0;;1;22.833334;1;22.833334;0;;1;3.25;1;3.25;0;;1;3.25;1;3.25;0;;1;5.9166665;1;5.9166665;0;;1;11.916667;1;11.916667;0;;0;;1;13;0;;0;;0;;0;;0;;1;.5;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110101601;0;;1;30.416666;0;;0;;1;13;0;;1;13;1;.5;0;;0;;1;30.416666;1;30.416666;1;13;;;1;4.3333335;1;2.1666667;1;2.1666667;1;6.5;1;6.5;0;;1;;1;;0;;1;2.5;0;;1;.5;1;23.833334;1;2.5;1;6.5;1;6.5;0;;0;;1;13;1;13;1;.5;1;4.3333335;0;;1;4.3333335;1;2.5;1;.5;1;2.5;0;;1;13;1;2.5;0;;1;13;0;;1;.5;1;.5;1;4.3333335;1;4.3333335;0;;1;30.416666;1;23.833334;0;;1;30.416666;1;30.416666;1;30.416666;1;.5;0;;1;.66666669;1;.66666669;0;;1;23.833334;1;11.916667;1;11.916667;0;;1;9.75;1;9.75;0;;1;5.9166665;1;5.9166665;0;;1;3.25;1;3.25;0;;1;3.25;1;3.25;0;;1;6.5;1;6.5;0;;1;.5;1;2.5;0;;0;;0;;0;;1;.5;1;2.5;0;;0;;0;;0;;0;;0;;1;2.5;0;;0;;1;.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110101901;1;30.416666;1;2.5;0;;0;;1;13;0;;1;13;1;2.5;0;;0;;1;13;1;2.5;1;4.3333335;1;4.3333335;1;1.25;1;1.25;0;;1;2.5;1;1.25;1;1.25;1;2.5;1;1.25;1;1.25;1;1;1;1;0;;1;13;1;4.3333335;1;6.5;1;6.5;0;;1;.5;1;13;1;13;0;;1;13;0;;1;4.3333335;1;4.3333335;1;2.5;1;2.5;1;2.5;1;4.3333335;1;2.5;0;;1;4.3333335;0;;1;.5;1;.5;1;4.3333335;1;13;0;;1;30.416666;0;;0;;1;30.416666;1;30.416666;1;13;1;13;0;;1;3.25;1;3.25;0;;1;13;1;.5;1;.5;0;;1;.5;1;.375;1;.125;0;;0;;0;;1;.58333331;1;.58333331;0;;1;.125;1;.125;0;;1;6.5;1;6.5;0;;1;.5;1;30.416666;1;4.3333335;1;30.416666;1;4.3333335;0;;1;2.5;1;2.5;0;;0;;1;13;1;13;0;;0;;1;2.5;1;.5;1;2.5;1;.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110300301;1;30.416666;0;;0;;0;;1;;1;;1;;;;1;;0;;1;23.833334;1;23.833334;1;13;1;2.5;1;7;1;6.5;1;.5;1;7.75;1;6.5;1;1.25;1;7.75;1;6.5;1;1.25;1;2.5;1;4.3333335;1;2.5;1;23.833334;1;2.5;1;13.166667;1;11.916667;1;1.25;1;13;1;23.833334;1;;1;1;1;4.3333335;1;;1;;1;;1;;1;;1;;1;;1;;0;;1;;1;;1;;1;;1;;1;;1;;1;30.416666;1;30.416666;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;30.416666;1;;1;;;;1;;1;22.833334;;;1;;1;;0;;1;;1;;0;;1;;1;;0;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;0;;1;23.833334;1;23.833334;0;;1;23.833334;0;;0;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110300501;1;30.416666;;;1;4.3333335;;;1;4.3333335;1;4.3333335;1;13;1;13;;;;;1;23.833334;1;;1;4.3333335;1;4.3333335;1;4.3333335;1;2.1666667;1;2.1666667;1;;1;11.916667;;;1;;1;11.916667;;;1;2.5;1;;;;1;13;1;1;1;;1;;1;;;;1;13;;;;;1;2.5;1;.5;1;13;1;13;1;.5;1;2.5;0;;1;2.5;1;2.5;;;0;;0;;0;;0;;1;4.3333335;1;13;0;;1;30.416666;1;30.416666;1;13;1;30.416666;1;30.416666;1;30.416666;1;2.5;;;1;.66666669;1;.66666669;0;;1;30.416666;1;13;1;6.5;1;6.5;1;;1;17.916666;;;0;;0;;0;;1;1.0833334;1;1.0833334;0;;1;7.5833335;1;7.5833335;0;;1;6.5;1;6.5;0;;0;;1;13;1;2.5;1;4.3333335;0;;0;;0;;0;;0;;0;;1;4.3333335;1;4.3333335;0;;1;4.3333335;1;30.416666;1;2.5;1;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pop2 Individu;110600101;1;30.416666;1;.5;0;;0;;1;13;0;;1;4.3333335;0;;0;;0;;1;30.416666;1;30.416666;1;13;1;13;1;4.3333335;1;2.1666667;1;2.1666667;1;13.166667;1;11.916667;1;1.25;1;13.166667;1;11.916667;1;1.25;1;4.3333335;1;4.3333335;1;2.5;1;30.416666;1;4.3333335;1;14.083333;1;11.916667;1;2.1666667;1;4.3333335;1;23.833334;1;13;1;4.3333335;1;4.3333335;1;1;1;13;1;2.5;1;2.5;1;2.5;0;;1;4.3333335;1;4.3333335;0;;1;4.3333335;0;;1;2.5;0;;1;13;1;2.5;0;;1;30.416666;1;30.416666;1;4.3333335;1;30.416666;1;30.416666;1;30.416666;1;4.3333335;0;;1;4.3333335;1;1.0833334;1;3.25;1;30.416666;1;13;1;6.5;1;6.5;1;19;1;17.916666;1;1.0833334;1;1.8333334;1;1.0833334;1;.75;1;3.625;1;3.25;1;.375;1;8.333333;1;7.5833335;1;.75;1;3.4166667;1;2.1666667;1;1.25;1;4.3333335;1;23.833334;1;4.3333335;1;30.416666;1;2.5;0;;1;4.3333335;1;4.3333335;1;4.3333335;0;;0;;0;;0;;0;;1;23.833334;1;1;1;1;1;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
